username,text,tweetcreatedts,hashtags,retweetcount,likecount,acctdesc,location,followers,totaltweets,usercreatedts
ManUtd,"YESSSSS  BRUUUNNOOOOO!!!

#MUFC #MUNTOT https://t.co/6DEYJOBoBg",2020-10-04 15:32:06,"['MUFC', 'MUNTOT']",1828,8143,Official #MUFC account. @ManUtd_ES 🇪🇸 | @ManUtd_ID 🇮🇩 | @ManUtd_JP 🇯🇵 | @ManUtd_MY 🇲🇾 | @ManUtd_AR مانشستر يونايتد,"Manchester, England",23298995,61792,2012-04-20 15:17:43
AoifeTurner,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:32:06,[],23283,0,"MUFC Home & Away  🔴⚪⚫                                                
Instagram- aoifeturner13 🔰",Manchester 🐝,24370,32069,2009-06-05 10:38:07
kop_anfield0108,"PENALTY to Man Utd...

#MUNTOT",2020-10-04 15:32:06,['MUNTOT'],710,0,リアルで呟くとうるさいのでサッカーアカウント作りました。大学兼,2014〜kop,118,655,2019-03-07 17:30:51
madeinlagos,United have scheduled medicals for Edinson Cavani and Alex Telles for later today at Carrington. #mufc,2020-10-04 15:32:06,['mufc'],2106,0,You know the vibes.,Lasgidi,2196,300252,2011-02-02 18:54:06
chapphello,29 seconds and a penalty. This referee knows what’s up. Good job ref. #MUNTOT #MUFC #COYS,2020-10-04 15:32:06,"['MUNTOT', 'MUFC', 'COYS']",0,0,"🇬🇧 Based in #Taiwan, Tweeting about various things I have an opinion on & interest in.","Taichung City, Taiwan",128,6631,2016-11-11 05:38:47
Draco6996,Fastest Penalty of the season #MUNTOT,2020-10-04 15:32:06,['MUNTOT'],4,0,Your Favorite loner. 🇦🇪🇳🇬,Pluto 🥶,4552,139904,2018-10-25 08:42:26
lucasoliveirahs,Hilarious. 30 seconds in. #MUNTOT,2020-10-04 15:32:06,['MUNTOT'],20,0,⚽️🏀🎮🗽⛪,,629,26260,2013-10-05 03:25:40
utdfrosty,"1 - Penalty to Man Utd.

🔴 #MUFC 0-0 #THFC ⚪",2020-10-04 15:32:05,"['MUFC', 'THFC']",433,0,MUFC 🇾🇪 🍇 🌊,,330,762,2020-07-25 16:32:48
United_1981,Kick off....penalty to United. BRUUNNNOOOOOOOOO #MUNTOT,2020-10-04 15:32:05,['MUNTOT'],0,1,"United first and foremost. Time for the leaches that are the Glazer family to go #GlazersOut Follow limit reached, I WILL follow back when I can",,915,1144,2019-08-01 15:47:58
darma_sena,Final fee for Alex Telles will be around €15m with add ons. Porto have accepted also because the player forced the move - he only wanted to join Manchester United 🔴 #MUFC &gt; https://t.co/aI0OImt6s7,2020-10-04 15:32:05,[],3316,0,"Asik itu baik. Baik itu asik ! 
Asikin ajaa..",Kota Banda Aceh,262,2021,2012-10-09 06:15:53
ImaPeterFile,"1 - We're underway at Old Trafford.

𝗖𝗢𝗠𝗘 𝗢𝗡 𝗬𝗢𝗨 𝗦𝗣𝗨𝗥𝗦! 

🔴 #MUFC 0-0 #THFC ⚪",2020-10-04 15:32:05,"['MUFC', 'THFC']",92,0,"keep the same energy
South London",,279,136481,2012-12-11 17:43:24
MikeLuckhurst,"Who had the 1st minute?

#MUNTOT #THFC #COYS",2020-10-04 15:32:05,"['MUNTOT', 'THFC', 'COYS']",0,0,Wielder of Sarcasm. Void of Sympathy. Consistently Inconsistent. If Rock n Roll's dead you can kill me right now. Tottenham 'til I die... COYS!,,44,1994,2011-10-18 16:00:08
TheSixYardsPod,"First minute penalty for #MUFC!

Can Bruno give them an early early lead?

#MUNTOT",2020-10-04 15:32:05,"['MUFC', 'MUNTOT']",0,0,Official Twitter of The Six Yards Podcast. We discuss all things football.,,40,258,2020-09-13 16:22:30
geraldtmothy,#mufc have scheduled medicals for Edinson Cavani and Alex Telles at Carrington later today #mulive [men],2020-10-04 15:32:05,"['mufc', 'mulive']",1067,0,"simpan bacotmu, sampai matahari terbenam.",Indonesia,590,30854,2011-10-08 10:46:11
kwuo14,We need this win... Let’s go!!!!!! 🔴 #MUNTOT #CuppyMUFC,2020-10-04 15:32:05,"['MUNTOT', 'CuppyMUFC']",1238,0,Fanatic Arsenal fan 🔴⚪️ .Philanthropist🥰.Team K wuo President🖤👑.Everything Black beautiful 🖤🖤🔥,Ghana,193,19903,2014-12-28 10:35:11
6oingSouth,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:32:05,[],23283,0,"sebut saja male, jangan female, apalagi shemale.","Makassar, Indonesia",756,10373,2010-10-20 11:11:16
Hurricane_Hits,"PENALTY to Man Utd...

#MUNTOT",2020-10-04 15:32:05,['MUNTOT'],710,0,beatmaker_ ✍️💸 _ ma palette d’échantillons 🎹🎨 : https://t.co/gunDRY1BJj _,"Saint-Quentin, France",1279,156565,2012-05-04 20:28:37
135mitchell,Come on!! #mufc,2020-10-04 15:32:05,['mufc'],0,0,Mitch.United one love!! MUFC!!!!!! manchester United season ticket holder 3,derbyshire,358,15428,2010-10-23 18:39:40
thfc_k,Hilarious. 30 seconds in. #MUNTOT,2020-10-04 15:32:05,['MUNTOT'],20,0,street cheetah,,479,44658,2014-10-18 05:42:08
luqmanlarry,What a soft penalty #MUNTOT #SSFootball,2020-10-04 15:32:05,"['MUNTOT', 'SSFootball']",0,0,,Cape Town,33,223,2011-06-13 07:31:38
KevaNjoroge,"PENALTY FC AT IT AGAIN

AFTER 30seconds

#MUNTOT",2020-10-04 15:32:05,['MUNTOT'],0,0,Boston Celtics ||  Manchester City 🏴󠁧󠁢󠁥󠁮 || I love everything Rugby - Gallagher Premiership and Super Rugby||   GOD ABOVE ALL 🙌🏾,XBOX SERIES X/PS5,512,37276,2012-09-09 08:20:38
kvnrnst,"1 - Penalty to Man Utd.

🔴 #MUFC 0-0 #THFC ⚪",2020-10-04 15:32:04,"['MUFC', 'THFC']",433,0,Depressed Tottenham fan,"Karlsruhe, Baden-Württemberg",7,1624,2015-01-11 15:59:30
UTD_Junior,Penalty in 30 seconds!! You love to see it 🤣🤣 #MUNTOT,2020-10-04 15:32:04,['MUNTOT'],0,0,Man United and football chats • News • content all on this page,,32,165,2020-08-04 22:22:55
Talulamaniacos,"🏆 Live HD Stream

•Premier League 🏆  

 Live Stream Arsenal vs Sheffield United 

• Mobile 📱 –  https://t.co/H8OqyrxjeX

• Computer 💻 –  https://t.co/H8OqyrxjeX

🔜#َMUNُTOTِ  ⚽

Retweet",2020-10-04 15:32:04,[],5,0,"O sonho só termina quando desistimos de sonhar. 
Te apoiaremos em todos os momentos.
Defenderemos esse sorriso pra sempre.
Since:09/02/11",Rio de Janeiro,343,3989,2011-02-09 13:59:59
therealcjthadj,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:32:04,"['MUFC', 'MUNTOT']",262,0,"I own #Wolastoqiyik Media Group. 
A 💯% #Indigenous owned #DJ Service. Proud #Liberal and #Weather Nerd.","Ottawa, Ontario, Canada",1485,80483,2009-07-13 19:12:22
JustAnEarthian,We score Penalties and we are proud! #MUFC,2020-10-04 15:32:04,['MUFC'],0,0,"A curious rebel who loves to ink. Big fan of kindness, love, fierceness and all things humane. Sports account.",,78,2497,2020-01-31 09:40:03
BhavinParikh5,Penalty 😂😂😂😂😂..  #MUNTOT #MUFC https://t.co/mkEwviaiaI,2020-10-04 15:32:04,"['MUNTOT', 'MUFC']",0,0,,,324,3778,2015-12-13 17:09:41
